Rowid,Timestamp,Anonymized Vehicle number,Vehicle type,Number of axles,Tollplaza id,Tollplaza code,Type of Payment code,Vehicle Code
78,Sun Aug  1 07:10:55 2021,9113006,car,2,4265,PC5B2AFFA,78 Sun Aug  1,07:10:55 2021 911300
79,Fri Jul 30 15:53:32 2021,660597,car,2,4304,PC89FB76E,79 Fri Jul 30,15:53:32 2021 660597
80,Sun Aug 22 16:38:30 2021,8500934,car,2,4797,PCE2D63A7,80 Sun Aug 22,16:38:30 2021 850093
81,Thu Aug 19 13:11:29 2021,395519,truck,4,4061,PC3A63A79,81 Thu Aug 19,13:11:29 2021 395519
82,Mon Aug  9 14:17:00 2021,2616607,truck,4,4085,PC6150735,82 Mon Aug  9,14:17:00 2021 261660
83,Sat Aug 14 10:36:28 2021,7218572,car,2,4675,PCE49911B,83 Sat Aug 14,10:36:28 2021 721857
84,Thu Aug 12 11:53:03 2021,994857,truck,4,4997,PC8111910,84 Thu Aug 12,11:53:03 2021 994857
85,Mon Aug  2 20:12:17 2021,3168436,car,2,4241,PC7241796,85 Mon Aug  2,20:12:17 2021 316843
86,Fri Aug 13 20:06:41 2021,1572712,car,2,4890,PCAFC8A56,86 Fri Aug 13,20:06:41 2021 157271
87,Thu Jul 29 17:35:21 2021,545955,car,2,4537,PC10C700F,87 Thu Jul 29,17:35:21 2021 545955
88,Sun Aug 22 05:39:41 2021,2013386,car,2,4743,PCE6EEF2E,88 Sun Aug 22,05:39:41 2021 201338
89,Wed Aug 11 02:43:03 2021,6566889,car,2,4026,PC2CE9851,89 Wed Aug 11,02:43:03 2021 656688
90,Wed Aug 11 02:39:24 2021,852585,car,2,4373,PC8806694,90 Wed Aug 11,02:39:24 2021 852585
91,Thu Jul 29 14:30:02 2021,6196238,truck,4,4116,PCCA836C9,91 Thu Jul 29,14:30:02 2021 619623
92,Mon Aug  2 11:07:12 2021,6031416,truck,4,4785,PC787D664,92 Mon Aug  2,11:07:12 2021 603141
93,Wed Aug  4 15:15:09 2021,6905906,van,2,5002,PC585BD38,93 Wed Aug  4,15:15:09 2021 690590
94,Wed Aug 11 17:34:54 2021,3764238,car,2,4728,PC07BF95F,94 Wed Aug 11,17:34:54 2021 376423
95,Thu Aug  5 06:31:23 2021,1673826,truck,4,4015,PC524833E,95 Thu Aug  5,06:31:23 2021 167382
96,Sat Aug 21 18:13:29 2021,316662,car,2,4817,PCFF02057,96 Sat Aug 21,18:13:29 2021 316662
97,Thu Aug 19 22:17:26 2021,2992127,truck,4,4857,PC59F4E22,97 Thu Aug 19,22:17:26 2021 299212
98,Thu Aug 19 12:02:31 2021,7517992,car,2,4724,PC3DE08BF,98 Thu Aug 19,12:02:31 2021 751799
99,Thu Aug 12 06:54:12 2021,6232948,truck,4,4725,PCB905D54,99 Thu Aug 12,06:54:12 2021 623294
100,Fri Jul 30 08:09:03 2021,4369477,car,2,4591,PCC9875AC,100 Fri Jul 30,08:09:03 2021 436947
101,Fri Aug  6 18:18:53 2021,4388245,truck,4,4792,PC3E35002,101 Fri Aug  6,18:18:53 2021 438824
102,Sat Aug  7 20:49:07 2021,8392508,car,2,4927,PC2D22627,102 Sat Aug  7,20:49:07 2021 839250
103,Fri Jul 30 16:08:08 2021,6858708,car,2,4397,PCB070250,103 Fri Jul 30,16:08:08 2021 685870
104,Fri Aug  6 06:59:16 2021,6215048,truck,4,4195,PC308070B,104 Fri Aug  6,06:59:16 2021 621504
105,Fri Aug 13 11:20:04 2021,7046549,truck,4,4336,PCD30AB50,105 Fri Aug 13,11:20:04 2021 704654
106,Wed Aug  4 18:37:46 2021,7899881,truck,4,4520,PC8140983,106 Wed Aug  4,18:37:46 2021 789988
107,Fri Aug 20 01:13:53 2021,9824238,car,2,4328,PC3777B8E,107 Fri Aug 20,01:13:53 2021 982423
108,Sun Aug  8 10:25:38 2021,8180012,car,2,4749,PC65C93B7,108 Sun Aug  8,10:25:38 2021 818001
109,Tue Aug 10 12:42:19 2021,426578,car,2,4990,PCFE28E92,109 Tue Aug 10,12:42:19 2021 426578
110,Thu Jul 29 11:33:20 2021,3284775,car,2,4231,PC016D687,110 Thu Jul 29,11:33:20 2021 328477
111,Sat Jul 31 18:42:46 2021,5487227,car,2,4643,PC6713209,111 Sat Jul 31,18:42:46 2021 548722
112,Thu Aug 12 23:09:32 2021,1772941,car,2,4121,PCEC57A8E,112 Thu Aug 12,23:09:32 2021 177294
113,Fri Aug 13 04:52:01 2021,2471284,van,2,4400,PC3BD7D63,113 Fri Aug 13,04:52:01 2021 247128
114,Sun Aug 22 03:05:40 2021,6040036,car,2,4119,PC9EBEDB5,114 Sun Aug 22,03:05:40 2021 604003
115,Fri Aug 13 12:39:10 2021,9249042,truck,4,4695,PC4A5D62F,115 Fri Aug 13,12:39:10 2021 924904
116,Mon Aug  9 22:59:28 2021,5791925,car,2,4495,PC210A754,116 Mon Aug  9,22:59:28 2021 579192
117,Fri Aug  6 01:01:14 2021,3696614,truck,4,4434,PCA491459,117 Fri Aug  6,01:01:14 2021 369661
118,Mon Aug  2 05:42:51 2021,7892550,car,2,4299,PCAD3B9BC,118 Mon Aug  2,05:42:51 2021 789255
119,Sun Aug  1 19:31:14 2021,5673214,van,2,4023,PC77793DF,119 Sun Aug  1,19:31:14 2021 567321
120,Fri Aug  6 05:58:42 2021,6657095,truck,4,4365,PC0F226DF,120 Fri Aug  6,05:58:42 2021 665709
121,Mon Aug  9 16:03:31 2021,2067579,van,2,4582,PC98750ED,121 Mon Aug  9,16:03:31 2021 206757
122,Fri Aug 13 11:42:48 2021,1005686,car,2,4119,PC9EBEDB5,122 Fri Aug 13,11:42:48 2021 100568
123,Sun Aug  8 02:44:35 2021,7521772,van,2,4416,PC546F252,123 Sun Aug  8,02:44:35 2021 752177
124,Sun Aug 15 08:43:48 2021,6545042,car,2,4898,PC0AE9E1B,124 Sun Aug 15,08:43:48 2021 654504
125,Mon Aug  9 05:03:17 2021,3473929,truck,4,4698,PC8BCEB19,125 Mon Aug  9,05:03:17 2021 347392
126,Sun Aug 22 02:13:18 2021,29457,car,2,4416,PC546F252,126 Sun Aug 22,02:13:18 2021 29457
127,Sat Aug 21 23:03:24 2021,7360318,car,2,4993,PC0F0AB4E,127 Sat Aug 21,23:03:24 2021 736031
128,Tue Aug 17 10:32:29 2021,3427163,truck,4,4356,PCF1979AE,128 Tue Aug 17,10:32:29 2021 342716
129,Fri Jul 30 08:44:05 2021,3007179,van,2,4504,PC461DCD3,129 Fri Jul 30,08:44:05 2021 300717
130,Fri Aug 20 06:01:27 2021,2151509,car,2,4811,PCBF83C7A,130 Fri Aug 20,06:01:27 2021 215150
131,Sat Jul 31 05:17:21 2021,1067960,car,2,4574,PCC1F6F13,131 Sat Jul 31,05:17:21 2021 106796
132,Tue Aug  3 07:01:26 2021,1100257,car,2,4116,PCCA836C9,132 Tue Aug  3,07:01:26 2021 110025
133,Sun Aug 22 10:01:40 2021,4346999,car,2,4049,PC4779D38,133 Sun Aug 22,10:01:40 2021 434699
134,Sat Aug 14 17:24:04 2021,4371005,car,2,4435,PC3E78C17,134 Sat Aug 14,17:24:04 2021 437100
135,Sat Aug 14 11:50:01 2021,1583109,car,2,4272,PC09BDC08,135 Sat Aug 14,11:50:01 2021 158310
136,Wed Aug 18 07:26:20 2021,8808595,car,2,4929,PC9E503B6,136 Wed Aug 18,07:26:20 2021 880859
137,Thu Aug  5 01:15:16 2021,1841800,van,2,4531,PC857F4A0,137 Thu Aug  5,01:15:16 2021 184180
138,Sat Jul 31 00:28:44 2021,1825050,car,2,4222,PC15EC378,138 Sat Jul 31,00:28:44 2021 182505
139,Fri Aug 13 09:54:01 2021,8490556,car,2,4657,PCC591410,139 Fri Aug 13,09:54:01 2021 849055
140,Thu Jul 29 23:02:42 2021,2549393,truck,4,4481,PC30AAE76,140 Thu Jul 29,23:02:42 2021 254939
141,Wed Aug 11 13:15:55 2021,9636921,truck,4,4145,PC5FBE4B8,141 Wed Aug 11,13:15:55 2021 963692
142,Thu Aug 19 21:13:57 2021,8899022,truck,4,4813,PCACF7982,142 Thu Aug 19,21:13:57 2021 889902
143,Thu Aug 19 08:46:24 2021,8112100,van,2,4585,PCF3AE602,143 Thu Aug 19,08:46:24 2021 811210
144,Thu Jul 29 16:02:19 2021,335366,car,2,4924,PCE3427C5,144 Thu Jul 29,16:02:19 2021 335366
145,Sat Jul 31 19:32:50 2021,1716955,truck,4,4584,PC1085B78,145 Sat Jul 31,19:32:50 2021 171695
146,Sat Aug 21 13:56:33 2021,4153555,van,2,4225,PCC1ED0C5,146 Sat Aug 21,13:56:33 2021 415355
147,Sat Jul 31 12:55:05 2021,5626263,car,2,4719,PCBD66B01,147 Sat Jul 31,12:55:05 2021 562626
148,Fri Aug  6 23:05:57 2021,49472,car,2,4830,PC12EEFE0,148 Fri Aug  6,23:05:57 2021 49472
149,Thu Aug  5 15:24:15 2021,2497636,car,2,4073,PCA3797CA,149 Thu Aug  5,15:24:15 2021 249763
150,Tue Aug  3 19:13:15 2021,7825358,truck,4,4954,PCA276EBB,150 Tue Aug  3,19:13:15 2021 782535
151,Sat Jul 31 11:27:59 2021,6084818,van,2,4732,PCD83DE25,151 Sat Jul 31,11:27:59 2021 608481
152,Thu Aug 19 18:53:39 2021,5455899,car,2,4155,PC9042B3F,152 Thu Aug 19,18:53:39 2021 545589
153,Tue Aug 17 22:11:51 2021,1849505,van,2,4142,PC7ACFF7C,153 Tue Aug 17,22:11:51 2021 184950
154,Wed Aug 18 19:49:38 2021,6114302,car,2,4737,PCED7EAFE,154 Wed Aug 18,19:49:38 2021 611430
155,Sun Aug 15 12:34:18 2021,8064123,car,2,4337,PCCF6A454,155 Sun Aug 15,12:34:18 2021 806412
156,Fri Aug  6 19:17:50 2021,538972,truck,4,4507,PC11DCA73,156 Fri Aug  6,19:17:50 2021 538972
157,Fri Jul 30 13:58:53 2021,6869546,truck,4,4092,PC40C2E00,157 Fri Jul 30,13:58:53 2021 686954
158,Mon Aug  2 16:00:33 2021,3766512,car,2,4269,PCC7106FF,158 Mon Aug  2,16:00:33 2021 376651
159,Fri Aug 20 21:45:41 2021,3528403,car,2,4610,PCA4D3E9B,159 Fri Aug 20,21:45:41 2021 352840
160,Fri Aug 20 04:59:50 2021,4380057,van,2,4980,PCBD5C822,160 Fri Aug 20,04:59:50 2021 438005
161,Sun Aug 15 00:36:59 2021,7876599,car,2,4295,PCD483999,161 Sun Aug 15,00:36:59 2021 787659
162,Fri Aug 13 00:25:06 2021,969619,car,2,4412,PC821BC98,162 Fri Aug 13,00:25:06 2021 969619
163,Fri Jul 30 13:42:03 2021,5763049,car,2,4364,PCB33ACE8,163 Fri Jul 30,13:42:03 2021 576304
164,Mon Aug 16 05:46:00 2021,6079402,truck,4,4290,PC84E8CEF,164 Mon Aug 16,05:46:00 2021 607940
165,Sun Aug  1 22:59:23 2021,4832816,car,2,4264,PC9DFEBB0,165 Sun Aug  1,22:59:23 2021 483281
166,Fri Aug 20 12:19:46 2021,3518759,truck,4,4412,PC821BC98,166 Fri Aug 20,12:19:46 2021 351875
167,Sat Jul 31 02:42:05 2021,4469770,truck,4,4712,PC94168A2,167 Sat Jul 31,02:42:05 2021 446977
168,Fri Aug  6 11:25:34 2021,7942552,truck,4,4603,PC485BE5B,168 Fri Aug  6,11:25:34 2021 794255
169,Tue Aug 17 21:17:32 2021,2493747,truck,4,4180,PC250A90D,169 Tue Aug 17,21:17:32 2021 249374
170,Tue Aug  3 15:31:28 2021,8099060,car,2,4592,PC627AA14,170 Tue Aug  3,15:31:28 2021 809906
171,Fri Aug 20 22:50:25 2021,4492765,truck,4,4008,PC5680D80,171 Fri Aug 20,22:50:25 2021 449276
172,Fri Aug  6 07:45:56 2021,5758058,car,2,4083,PC90346C9,172 Fri Aug  6,07:45:56 2021 575805
173,Thu Aug 19 00:24:55 2021,9496559,car,2,4573,PC4D8469D,173 Thu Aug 19,00:24:55 2021 949655
174,Fri Jul 30 02:24:22 2021,3174341,car,2,4642,PC17D596F,174 Fri Jul 30,02:24:22 2021 317434
175,Fri Aug 13 05:55:34 2021,3318165,car,2,4693,PCB4CDDA5,175 Fri Aug 13,05:55:34 2021 331816
176,Mon Aug  2 14:28:14 2021,7509515,truck,4,4787,PC1BDA119,176 Mon Aug  2,14:28:14 2021 750951
177,Tue Aug  3 12:47:44 2021,367073,car,2,4989,PC7D7AE48,177 Tue Aug  3,12:47:44 2021 367073
178,Sun Aug  8 09:26:56 2021,8543348,truck,4,4803,PC2BBEEDC,178 Sun Aug  8,09:26:56 2021 854334
179,Fri Aug 20 04:16:14 2021,4588656,car,2,4848,PCF0FC9B2,179 Fri Aug 20,04:16:14 2021 458865
180,Fri Aug 20 04:22:16 2021,9706662,car,2,4377,PC4AC8EAD,180 Fri Aug 20,04:22:16 2021 970666
181,Tue Aug 10 03:28:33 2021,3359010,car,2,4947,PCE4A44BE,181 Tue Aug 10,03:28:33 2021 335901
182,Wed Aug 18 11:24:47 2021,7639441,car,2,4439,PC845CEA6,182 Wed Aug 18,11:24:47 2021 763944
183,Tue Aug  3 08:52:25 2021,9449600,car,2,4346,PCA35B156,183 Tue Aug  3,08:52:25 2021 944960
184,Wed Aug 11 06:39:10 2021,7572233,car,2,4718,PC81E83B9,184 Wed Aug 11,06:39:10 2021 757223
185,Fri Aug 20 03:23:49 2021,7096671,truck,4,4049,PC4779D38,185 Fri Aug 20,03:23:49 2021 709667
186,Fri Jul 30 23:54:00 2021,6218100,car,2,4579,PC926F0A9,186 Fri Jul 30,23:54:00 2021 621810
187,Wed Aug 11 07:11:55 2021,9500467,van,2,4985,PCCA71D2C,187 Wed Aug 11,07:11:55 2021 950046
188,Sun Aug 15 20:41:12 2021,2551672,truck,4,4356,PCF1979AE,188 Sun Aug 15,20:41:12 2021 255167
189,Wed Aug 18 18:28:36 2021,4423795,car,2,4631,PCFFF6463,189 Wed Aug 18,18:28:36 2021 442379
190,Mon Aug  9 07:19:12 2021,1520424,car,2,4898,PC0AE9E1B,190 Mon Aug  9,07:19:12 2021 152042
191,Tue Aug 10 16:39:12 2021,5680437,car,2,4022,PCF135377,191 Tue Aug 10,16:39:12 2021 568043
192,Mon Aug  9 02:30:05 2021,1469208,van,2,4586,PC4A40D50,192 Mon Aug  9,02:30:05 2021 146920
193,Mon Aug  9 06:58:52 2021,9017449,car,2,4733,PC797AEBF,193 Mon Aug  9,06:58:52 2021 901744
194,Sat Aug  7 03:09:03 2021,9014873,truck,4,4764,PCF6B0D12,194 Sat Aug  7,03:09:03 2021 901487
195,Sat Aug  7 21:03:28 2021,6849933,car,2,4466,PC6E93A05,195 Sat Aug  7,21:03:28 2021 684993
196,Sun Aug  1 00:29:43 2021,1907386,car,2,4158,PCAA68777,196 Sun Aug  1,00:29:43 2021 190738
197,Sun Aug  1 01:56:36 2021,5556619,truck,4,4111,PC07F012A,197 Sun Aug  1,01:56:36 2021 555661
198,Tue Aug 17 00:22:53 2021,8724319,truck,4,4591,PCC9875AC,198 Tue Aug 17,00:22:53 2021 872431
199,Mon Aug  9 08:24:12 2021,4066334,car,2,4015,PC524833E,199 Mon Aug  9,08:24:12 2021 406633
200,Sat Jul 31 19:46:31 2021,1208453,car,2,4420,PCFDB2950,200 Sat Jul 31,19:46:31 2021 120845
201,Fri Aug  6 18:13:51 2021,8705286,truck,4,4924,PCE3427C5,201 Fri Aug  6,18:13:51 2021 870528
202,Thu Aug 12 00:17:15 2021,758555,car,2,4501,PC5D41947,202 Thu Aug 12,00:17:15 2021 758555
203,Tue Aug 10 22:07:00 2021,7388283,car,2,4026,PC2CE9851,203 Tue Aug 10,22:07:00 2021 738828
204,Sun Aug  8 07:16:20 2021,7589773,car,2,4280,PC03A5F23,204 Sun Aug  8,07:16:20 2021 758977
205,Wed Aug 18 08:29:07 2021,2316095,car,2,4953,PC1E2B07E,205 Wed Aug 18,08:29:07 2021 231609
206,Tue Aug 10 20:36:42 2021,1847455,van,2,4923,PC8A7A22A,206 Tue Aug 10,20:36:42 2021 184745
207,Fri Aug 13 05:36:53 2021,7707016,car,2,4283,PC953B572,207 Fri Aug 13,05:36:53 2021 770701
208,Sun Aug  1 04:10:44 2021,2616520,truck,4,4899,PC4967767,208 Sun Aug  1,04:10:44 2021 261652
209,Sun Aug 15 11:41:43 2021,8332760,truck,4,4560,PC5030572,209 Sun Aug 15,11:41:43 2021 833276
210,Mon Aug  9 05:19:02 2021,9677148,car,2,4037,PC0A50259,210 Mon Aug  9,05:19:02 2021 967714
211,Wed Aug  4 19:23:36 2021,2695699,car,2,4610,PCA4D3E9B,211 Wed Aug  4,19:23:36 2021 269569
212,Fri Aug 20 04:00:27 2021,1836057,car,2,4775,PCA50FB36,212 Fri Aug 20,04:00:27 2021 183605
213,Wed Aug 18 09:20:33 2021,7980271,truck,4,4414,PC40BD0F3,213 Wed Aug 18,09:20:33 2021 798027
214,Sat Jul 31 01:41:58 2021,9166253,car,2,4915,PC86B0D7B,214 Sat Jul 31,01:41:58 2021 916625
215,Mon Aug  2 20:26:27 2021,5966610,car,2,4618,PC8F4AF85,215 Mon Aug  2,20:26:27 2021 596661
216,Tue Aug 10 14:11:13 2021,8273227,car,2,4909,PCDED6F20,216 Tue Aug 10,14:11:13 2021 827322
217,Tue Aug 17 11:21:41 2021,4772310,car,2,4497,PC76FDDEA,217 Tue Aug 17,11:21:41 2021 477231
218,Thu Aug 12 01:18:11 2021,401226,car,2,4401,PC0606D6A,218 Thu Aug 12,01:18:11 2021 401226
219,Mon Aug  2 22:30:06 2021,5259884,van,2,4284,PC0DB49FD,219 Mon Aug  2,22:30:06 2021 525988
220,Thu Aug 12 13:20:29 2021,4560546,car,2,4235,PCFB11406,220 Thu Aug 12,13:20:29 2021 456054
221,Fri Aug  6 23:10:56 2021,3679257,truck,4,4482,PCB6A16D7,221 Fri Aug  6,23:10:56 2021 367925
222,Sun Aug  8 01:28:48 2021,5001460,car,2,4981,PC6B14C5D,222 Sun Aug  8,01:28:48 2021 500146
223,Thu Aug 12 14:26:03 2021,488809,car,2,4175,PC08EA270,223 Thu Aug 12,14:26:03 2021 488809
